"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"31","RT @theIRC: Half a million people in Yemen had cholera in 2017. That's the worst outbreak ever recorded in a single year. https://t.co/SoYGâ€¦",FALSE,0,NA,2017-09-22 01:07:01,FALSE,NA,"911034065016446976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shab302611",2,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/520784814438227969/-DIznUDn_normal.jpeg"
"32","This, after Yemen, is a lot like House Dems suddenly discovering the opioid crisis https://t.co/uWfVDNdTjx",FALSE,0,NA,2017-09-22 01:07:01,FALSE,NA,"911034062906839041",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kfrydl",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/893581857178222592/3eRJCcNi_normal.jpg"
"33","RT @benwikler: Graham-Cassidy is the ACA repeal equiv of the Iraq war. Sold on lies in response to a manufactured crisis, destined to causeâ€¦",FALSE,0,NA,2017-09-22 01:06:58,FALSE,NA,"911034051997442048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StrawGirl52",1480,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/799002455963013120/mi7-O9z1_normal.jpg"
"34","RT @NatCounterPunch: Single Payer is not only feasible, it's the least expensive, most straightforward solution to our heath care crisis. hâ€¦",FALSE,0,NA,2017-09-22 01:06:54,FALSE,NA,"911034034544943105",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","whattheplucked",127,TRUE,FALSE,NA,NA,"Georgia, USA","en","http://pbs.twimg.com/profile_images/909962142002155520/4S2cf9JK_normal.jpg"
"35","Put your crisis communication plan in place BEFORE the crisis happens. https://t.co/SwmAblMlRz https://t.co/amatZ2hqL6",FALSE,0,NA,2017-09-22 01:06:50,FALSE,NA,"911034018665246720",NA,"<a href=""http://meetedgar.com"" rel=""nofollow"">Meet Edgar</a>","pickettwrites",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/868621519206977537/yAA95lVH_normal.jpg"
"36","$ 4 wars but none 4 clean water Flint water crisis blamed for lower fertility rates, increased fetal death rates í ½í¸¡ https://t.co/T08Z18mRs8",FALSE,0,NA,2017-09-22 01:06:48,FALSE,NA,"911034007365791744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jason_R_Reeves",0,FALSE,FALSE,NA,NA,"<ed><U+00A0><U+00BC><ed><U+00BC><U+008E>","en","http://pbs.twimg.com/profile_images/907667178434039809/rPnkYnJk_normal.jpg"
"37","BBCNEWS 6:05pm NORTH KOREA CRISIS. US to sanction foreign banks that trade with Pyongyang
NORTH KOREA CRISIS. Trump: Order will cut...",FALSE,0,NA,2017-09-22 01:06:45,FALSE,NA,"911033994904342528",NA,"<a href=""https://archive.org/tv"" rel=""nofollow"">tvThirdEyeB</a>","tvThirdEyeB",0,FALSE,FALSE,NA,NA,"San Francisco, CA","en","http://pbs.twimg.com/profile_images/910606884565950464/P-E5U0ei_normal.jpg"
"38","RT @imsabbah: Okay but seriously, #HajiPublicSchool has a volunteer crisis. Need one or two smart, serious, v. hard working teachers up forâ€¦",FALSE,0,NA,2017-09-22 01:06:43,FALSE,NA,"911033988508033024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ramindersays",34,TRUE,FALSE,NA,NA,"Jammu & Kashmir","en","http://pbs.twimg.com/profile_images/811214165071147008/yx0_J4aL_normal.jpg"
"39","RT @PixelProject: Call 1800 774 5935 to speak to an AWARE (Singapore) https://t.co/05dnxgo7vA helpliner - open to all women with crisis ofâ€¦",FALSE,0,NA,2017-09-22 01:06:42,FALSE,NA,"911033982178934785",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","HayleyHarajuku",1,TRUE,FALSE,NA,NA,"In A Galaxy Far Far Away ","en","http://pbs.twimg.com/profile_images/896652503533502464/Fvl5ZBaX_normal.jpg"
"40","Ethical gun dealer? Machine-gun giant Heckler &amp; Koch will no longer sell in 'crisis regions' https://t.co/sId6kSAh8d",FALSE,0,NA,2017-09-22 01:06:41,FALSE,NA,"911033979435913216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HKhaang",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/702609807359012864/Gtowh44T_normal.jpg"
